Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.2,,,
Sample Interval,0.000384025,,,
Filter Frequency,2e+08,,,
Record Length,5192,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-9.524e-01,0.65,0.53,9.2,8.4
-9.520e-01,0.61,0.91,9,9.4
-9.516e-01,0.87,0.77,8.8,8.2
-9.512e-01,0.99,1.13,8.8,9.2
-9.508e-01,1.01,0.67,8.4,8
-9.505e-01,0.95,1.57,8.4,8.8
-9.501e-01,1.09,0.51,8.2,7.8
-9.497e-01,1.13,1.63,8.2,8.6
-9.493e-01,0.99,0.25,8.4,7.6
-9.489e-01,0.81,1.47,8,8.6
-9.485e-01,0.69,0.07,8,7.6
-9.482e-01,0.57,1.15,8.2,8.4
-9.478e-01,0.51,-0.00999999,8,7.6
-9.474e-01,0.45,0.97,8,8.4
-9.470e-01,0.35,-0.07,7.8,7.6
-9.466e-01,0.41,0.85,8,8.4
-9.462e-01,0.37,-0.11,8,7.6
-9.459e-01,0.31,0.81,8,8.4
-9.455e-01,0.31,-0.09,8,7.6
-9.451e-01,0.27,0.65,7.8,8.4
-9.447e-01,0.29,-0.07,8,7.6
-9.443e-01,0.27,0.57,8.2,8.4
-9.439e-01,0.27,-0.05,8,7.6
-9.435e-01,0.25,0.53,8,8.6
-9.432e-01,0.27,-0.03,8.2,7.8
-9.428e-01,0.27,0.49,8.2,8.6
-9.424e-01,0.23,-0.11,8.2,7.8
-9.420e-01,0.23,0.61,8.2,8.6
-9.416e-01,0.23,-0.17,8.2,7.8
-9.412e-01,0.19,0.59,8.2,8.6
-9.409e-01,0.19,-0.17,8.4,7.8
-9.405e-01,0.17,0.53,8.4,8.6
-9.401e-01,0.15,-0.17,8.4,7.8
-9.397e-01,0.15,0.51,8.2,8.8
-9.393e-01,0.13,-0.15,8.2,7.8
-9.389e-01,0.11,0.51,8.2,8.8
-9.386e-01,0.11,-0.13,8.4,8
-9.382e-01,0.09,0.49,8.2,8.6
-9.378e-01,0.11,-0.11,8.4,7.8
-9.374e-01,0.11,0.47,8.4,8.6
-9.370e-01,0.11,-0.09,8.4,7.8
-9.366e-01,0.09,0.33,8.4,8.6
-9.363e-01,0.11,0.01,8.2,7.8
-9.359e-01,0.09,0.21,8.4,8.6
-9.355e-01,0.07,-0.00999999,8.2,7.8
-9.351e-01,0.07,0.19,8.4,8.6
-9.347e-01,0.09,0.01,8.2,7.8
-9.343e-01,0.09,0.17,8,8.6
-9.339e-01,0.09,-0.11,8.2,7.8
-9.336e-01,0.07,0.55,8.2,8.6
-9.332e-01,0.39,-0.13,8,7.6
-9.328e-01,0.09,0.57,8,8.6
-9.324e-01,0.07,-0.15,8.2,7.6
-9.320e-01,0.09,0.61,8.2,8.4
-9.316e-01,0.11,-0.19,8,7.6
-9.313e-01,0.13,0.61,8,8.4
-9.309e-01,0.03,-0.29,8,7.6
-9.305e-01,0.09,0.59,8,8.4
-9.301e-01,0.09,-0.29,8,7.6
-9.297e-01,0.07,0.57,8,8.4
-9.293e-01,0.07,-0.29,8,7.6
-9.290e-01,0.11,0.55,8,8.4
-9.286e-01,0.09,-0.23,8,7.8
-9.282e-01,0.07,0.43,8.2,8.6
-9.278e-01,0.13,-0.19,8.2,7.8
-9.274e-01,0.19,0.45,8.4,8.6
-9.270e-01,0.13,-0.15,8,7.8
-9.267e-01,0.19,0.69,8.2,8.6
-9.263e-01,0.49,0.25,8.2,7.6
-9.259e-01,0.67,1.03,8,8.4
-9.255e-01,0.77,0.35,7.8,7.4
-9.251e-01,0.75,1.31,7.8,8.4
-9.247e-01,0.95,0.47,8,7.4
-9.243e-01,0.89,1.33,7.8,8.2
-9.240e-01,0.97,0.61,7.6,7
-9.236e-01,1.09,1.41,7.4,8
-9.232e-01,0.95,0.31,7.6,7
-9.228e-01,0.79,1.23,7.6,8
-9.224e-01,0.65,-0.00999999,7.6,7
-9.220e-01,0.53,0.93,7.6,8
-9.217e-01,0.45,-0.09,7.6,7
-9.213e-01,0.37,0.83,7.6,8
-9.209e-01,0.33,-0.09,7.6,7
-9.205e-01,0.29,0.69,7.6,7.8
-9.201e-01,0.23,0.03,7.6,7
-9.197e-01,0.23,0.45,7.6,7.8
-9.194e-01,0.19,0.07,7.2,7
-9.190e-01,0.15,0.25,7.4,7.8
-9.186e-01,0.15,0.03,7.4,7
-9.182e-01,0.13,0.23,7.4,7.8
-9.178e-01,0.09,0.03,7.2,7
-9.174e-01,0.11,0.19,7.2,7.8
-9.171e-01,0.13,-0.13,7.4,7
-9.167e-01,0.11,0.57,7.4,7.8
-9.163e-01,0.09,-0.17,7.6,6.8
-9.159e-01,0.11,0.59,7.4,7.8
-9.155e-01,0.09,-0.17,7.4,6.8
-9.151e-01,0.05,0.61,7.4,7.8
-9.147e-01,0.07,-0.19,7.2,6.8
-9.144e-01,0.09,0.61,7.2,7.6
-9.140e-01,0.09,-0.27,7.4,6.8
-9.136e-01,-0.00999999,0.57,7.2,7.8
-9.132e-01,0.07,-0.31,7.2,6.8
-9.128e-01,0.07,0.57,7,7.6
-9.124e-01,0.09,-0.29,7.4,6.8
-9.121e-01,0.09,0.57,7.2,7.8
-9.117e-01,0.09,-0.23,7.4,6.8
-9.113e-01,0.09,0.37,7.4,7.8
-9.109e-01,0.11,-0.23,7.4,7
-9.105e-01,0.09,0.39,7.4,7.8
-9.101e-01,0.09,-0.19,7.4,7
-9.098e-01,0.09,0.35,7.4,8
-9.094e-01,0.13,-0.19,7.6,7
-9.090e-01,0.11,0.35,7.6,8
-9.086e-01,0.11,-0.27,7.8,7.2
-9.082e-01,0.11,0.47,7.6,8
-9.078e-01,0.09,-0.25,7.8,7.2
-9.075e-01,0.09,0.47,7.8,8
-9.071e-01,0.11,-0.23,7.8,7.2
-9.067e-01,0.11,0.45,7.8,8.2
-9.063e-01,0.11,-0.19,7.8,7.2
-9.059e-01,0.11,0.47,7.8,8.2
-9.055e-01,0.15,-0.15,7.8,7.2
-9.051e-01,0.17,0.55,7.6,8
-9.048e-01,0.13,-0.11,7.8,7
-9.044e-01,0.13,0.79,7.8,8
-9.040e-01,0.43,0.03,7.4,6.8
-9.036e-01,0.59,0.91,7.6,7.8
-9.032e-01,0.59,0.49,7.2,6.6
-9.028e-01,0.81,0.99,7,7.6
-9.025e-01,0.89,0.71,6.8,6.2
-9.021e-01,0.83,1.09,6.6,7.4
-9.017e-01,1.01,0.77,6.8,6.2
-9.013e-01,0.97,1.11,6.4,7.2
-9.009e-01,0.81,0.49,6.6,6.2
-9.005e-01,0.67,0.89,6.6,7
-9.002e-01,0.57,-0.07,6.6,6.2
-8.998e-01,0.47,0.99,6.6,7
-8.994e-01,0.39,-0.15,6.4,6
-8.990e-01,0.33,0.83,6.4,7
-8.986e-01,0.29,-0.17,6.6,6
-8.982e-01,0.23,0.73,6.4,7
-8.978e-01,0.23,-0.21,6.6,6
-8.975e-01,0.17,0.65,6.6,6.8
-8.971e-01,0.15,-0.25,6.6,6
-8.967e-01,0.15,0.61,6.4,6.8
-8.963e-01,0.13,-0.29,6.4,6
-8.959e-01,0.13,0.61,6.4,6.8
-8.955e-01,0.11,-0.25,6.6,6
-8.952e-01,0.11,0.51,6.4,7
-8.948e-01,0.11,-0.23,6.4,6.2
-8.944e-01,0.13,0.41,6.6,7
-8.940e-01,0.11,-0.23,6.6,6.2
-8.936e-01,0.13,0.41,6.6,7
-8.932e-01,0.11,-0.17,6.8,6.2
-8.929e-01,0.11,0.37,6.8,7.2
-8.925e-01,0.09,-0.25,6.6,6.4
-8.921e-01,0.11,0.47,6.6,7.2
-8.917e-01,0.11,-0.27,6.8,6.4
-8.913e-01,0.13,0.49,6.8,7.2
-8.909e-01,0.11,-0.25,7,6.4
-8.906e-01,0.13,0.45,7,7.2
-8.902e-01,0.13,-0.21,6.8,6.4
-8.898e-01,0.11,0.45,6.8,7.4
-8.894e-01,0.13,-0.17,7,6.4
-8.890e-01,0.09,0.49,6.8,7.4
-8.886e-01,0.11,-0.13,7,6.4
-8.882e-01,0.09,0.47,6.8,7.4
-8.879e-01,0.09,-0.11,6.8,6.4
-8.875e-01,0.09,0.43,6.6,7.2
-8.871e-01,0.07,-0.11,7,6.4
-8.867e-01,0.09,0.33,6.8,7.2
-8.863e-01,0.09,-0.00999999,6.8,6.4
-8.859e-01,0.07,0.19,6.8,7.2
-8.856e-01,0.09,-0.03,6.8,6.4
-8.852e-01,0.09,0.17,6.8,7.2
-8.848e-01,0.11,-0.00999999,6.8,6.2
-8.844e-01,0.09,0.17,6.6,7.2
-8.840e-01,0.09,-0.11,6.8,6.4
-8.836e-01,0.09,0.53,6.8,7.2
-8.833e-01,0.09,-0.13,7,6.2
-8.829e-01,0.07,0.57,6.8,7
-8.825e-01,0.09,-0.15,6.6,6.2
-8.821e-01,0.09,0.59,6.8,7
-8.817e-01,0.11,-0.17,6.6,6.2
-8.813e-01,0.09,0.59,6.6,7
-8.810e-01,0.11,-0.25,6.4,6.2
-8.806e-01,0.13,0.61,6.6,7
-8.802e-01,0.15,-0.25,6.6,6.2
-8.798e-01,0.13,0.63,6.6,7
-8.794e-01,0.19,-0.23,6.4,5.8
-8.790e-01,0.53,1.01,6.4,6.8
