Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.1,,,
Sample Interval,0.000192012,,,
Filter Frequency,2e+08,,,
Record Length,5192,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-4.760e-01,0.09,0.49,10,10.2
-4.758e-01,0.09,-0.13,10,9.6
-4.756e-01,0.09,0.45,9.8,10.4
-4.754e-01,0.11,-0.11,10,9.6
-4.752e-01,0.11,0.43,10,10.4
-4.750e-01,0.11,-0.11,10,9.4
-4.748e-01,0.09,0.41,10,10.2
-4.747e-01,0.09,-0.11,10,9.4
-4.745e-01,0.07,0.39,9.8,10.2
-4.743e-01,0.09,-0.07,10,9.4
-4.741e-01,0.07,0.31,9.8,10.4
-4.739e-01,0.07,-0.05,9.8,9.4
-4.737e-01,0.09,0.23,9.8,10.2
-4.735e-01,0.07,-0.00999999,9.8,9.4
-4.733e-01,0.09,0.17,9.8,10.2
-4.731e-01,0.09,-0.00999999,10,9.4
-4.729e-01,0.09,0.15,9.8,10.2
-4.727e-01,0.09,-0.00999999,9.8,9.4
-4.725e-01,0.09,0.17,10,10.2
-4.724e-01,0.09,-0.00999999,9.8,9.4
-4.722e-01,0.09,0.15,9.8,10.2
-4.720e-01,0.09,-0.00999999,9.8,9.4
-4.718e-01,0.09,0.15,9.8,10.2
-4.716e-01,0.11,0.01,9.6,9.4
-4.714e-01,0.07,0.15,9.8,10.2
-4.712e-01,0.11,0.01,9.8,9.4
-4.710e-01,0.09,0.15,9.8,10.2
-4.708e-01,0.09,-0.13,9.8,9.4
-4.706e-01,0.07,0.53,9.8,10.2
-4.704e-01,0.05,-0.13,9.8,9.4
-4.702e-01,0.07,0.53,9.8,10.2
-4.700e-01,0.09,-0.13,9.6,9.4
-4.699e-01,0.09,0.55,9.8,10
-4.697e-01,0.05,-0.15,9.8,9.4
-4.695e-01,0.07,0.57,9.6,10.2
-4.693e-01,0.07,-0.15,9.6,9.4
-4.691e-01,0.07,0.59,9.6,10
-4.689e-01,0.07,-0.15,9.8,9.4
-4.687e-01,0.07,0.59,9.6,10.2
-4.685e-01,0.09,-0.17,9.6,9.2
-4.683e-01,0.09,0.59,9.4,10
-4.681e-01,0.07,-0.19,9.8,9.2
-4.679e-01,0.07,0.59,9.6,10
-4.677e-01,0.09,-0.27,9.6,9.2
-4.675e-01,-0.05,0.53,9.8,10
-4.674e-01,0.05,-0.27,9.6,9.2
-4.672e-01,0.09,0.55,9.6,10
-4.670e-01,0.07,-0.29,9.8,9.2
-4.668e-01,0.07,0.55,9.8,10
-4.666e-01,0.11,-0.29,9.6,9.4
-4.664e-01,0.09,0.57,9.8,10
-4.662e-01,0.07,-0.27,9.6,9.4
-4.660e-01,0.09,0.53,9.6,10.2
-4.658e-01,0.07,-0.25,9.8,9.4
-4.656e-01,0.09,0.41,9.8,10.2
-4.654e-01,0.09,-0.25,9.6,9.4
-4.652e-01,0.09,0.37,9.8,10.2
-4.651e-01,0.11,-0.25,9.6,9.4
-4.649e-01,0.07,0.39,9.8,10.2
-4.647e-01,0.09,-0.21,9.8,9.4
-4.645e-01,0.07,0.37,9.6,10.2
-4.643e-01,0.11,-0.21,9.8,9.4
-4.641e-01,0.09,0.35,9.8,10.2
-4.639e-01,0.11,-0.19,10.2,9.4
-4.637e-01,0.11,0.33,9.8,10.2
-4.635e-01,0.13,-0.17,10,9.4
-4.633e-01,0.11,0.33,10,10.2
-4.631e-01,0.09,-0.19,9.8,9.4
-4.629e-01,0.11,0.33,9.8,10.2
-4.627e-01,0.11,-0.25,10,9.6
-4.626e-01,0.11,0.45,10,10.2
-4.624e-01,0.13,-0.25,10,9.6
-4.622e-01,0.09,0.45,9.8,10.2
-4.620e-01,0.09,-0.27,10,9.4
-4.618e-01,0.09,0.45,10,10.4
-4.616e-01,0.09,-0.25,10,9.6
-4.614e-01,0.09,0.45,10,10.4
-4.612e-01,0.09,-0.25,10,9.6
-4.610e-01,0.09,0.43,10,10.4
-4.608e-01,0.11,-0.25,10,9.6
-4.606e-01,0.09,0.43,9.8,10.4
-4.604e-01,0.07,-0.21,9.8,9.6
-4.603e-01,0.09,0.47,10,10.4
-4.601e-01,0.13,-0.15,9.8,9.6
-4.599e-01,0.07,0.45,9.8,10.4
-4.597e-01,0.07,-0.15,10,9.6
-4.595e-01,0.07,0.47,10,10.4
-4.593e-01,0.07,-0.13,9.8,9.6
-4.591e-01,0.09,0.45,10,10.4
-4.589e-01,0.09,-0.13,10,9.6
-4.587e-01,0.07,0.43,10,10.4
-4.585e-01,0.09,-0.11,9.8,9.4
-4.583e-01,0.07,0.41,10,10.4
-4.581e-01,0.07,-0.11,10,9.6
-4.579e-01,0.07,0.39,10,10.2
-4.578e-01,0.09,-0.11,9.8,9.4
-4.576e-01,0.09,0.33,10,10.2
-4.574e-01,0.09,-0.05,10,9.4
-4.572e-01,0.09,0.27,9.8,10.2
-4.570e-01,0.09,-0.00999999,9.8,9.4
-4.568e-01,0.09,0.19,9.8,10.2
-4.566e-01,0.07,-0.00999999,9.8,9.4
-4.564e-01,0.07,0.17,9.8,10.2
-4.562e-01,0.09,-0.00999999,9.8,9.4
-4.560e-01,0.07,0.17,9.8,10.2
-4.558e-01,0.09,-0.00999999,10,9.4
-4.556e-01,0.07,0.17,9.8,10.2
-4.555e-01,0.05,-0.00999999,9.6,9.4
-4.553e-01,0.09,0.15,9.8,10.2
-4.551e-01,0.09,-0.00999999,9.6,9.4
-4.549e-01,0.09,0.15,9.8,10.2
-4.547e-01,0.09,0.01,9.8,9.4
-4.545e-01,0.07,0.13,9.8,10.2
-4.543e-01,0.07,-0.09,9.8,9.4
-4.541e-01,0.11,0.51,9.8,10.2
-4.539e-01,0.07,-0.11,9.8,9.2
-4.537e-01,0.09,0.53,9.8,10.2
-4.535e-01,0.09,-0.13,9.8,9.4
-4.533e-01,0.09,0.55,9.6,10.2
