Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.02,,,
Sample Interval,3.84025e-05,,,
Filter Frequency,2e+08,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,2,,2,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-9.8153e-02,1.16,1.4,2.48,2.64
-9.8115e-02,1.16,0.92,2.48,2.32
-9.8076e-02,1.24,1.4,2.48,2.64
-9.8038e-02,1.24,0.92,2.48,2.32
-9.8000e-02,1.16,1.4,2.4,2.64
-9.7961e-02,1.16,1,2.48,2.32
-9.7923e-02,1.24,1.4,2.48,2.56
-9.7884e-02,1.16,1,2.4,2.32
-9.7846e-02,1.16,1.32,2.48,2.64
-9.7808e-02,1.16,1,2.4,2.32
-9.7769e-02,1.16,1.4,2.48,2.64
-9.7731e-02,1.16,1,2.4,2.32
-9.7692e-02,1.16,1.4,2.48,2.64
-9.7654e-02,1.16,1,2.48,2.32
-9.7616e-02,1.16,1.4,2.48,2.64
-9.7577e-02,1.24,1,2.48,2.32
-9.7539e-02,1.24,1.4,2.48,2.64
-9.7500e-02,1.16,1,2.48,2.32
-9.7462e-02,1.24,1.4,2.48,2.64
-9.7424e-02,1.24,1.08,2.48,2.32
-9.7385e-02,1.24,1.48,2.48,2.64
-9.7347e-02,1.24,1,2.48,2.32
-9.7308e-02,1.24,1.4,2.48,2.64
-9.7270e-02,1.24,1.16,2.48,2.32
-9.7232e-02,1.32,1.48,2.4,2.64
-9.7193e-02,1.24,1,2.48,2.32
-9.7155e-02,1.24,1.48,2.48,2.64
-9.7116e-02,1.32,1.16,2.48,2.32
-9.7078e-02,1.32,1.56,2.4,2.64
-9.7040e-02,1.32,1.16,2.48,2.32
-9.7001e-02,1.32,1.48,2.48,2.56
-9.6963e-02,1.32,1.16,2.4,2.32
-9.6924e-02,1.4,1.56,2.48,2.56
-9.6886e-02,1.32,1.16,2.48,2.32
-9.6848e-02,1.4,1.56,2.48,2.64
-9.6809e-02,1.4,1.24,2.48,2.32
-9.6771e-02,1.4,1.56,2.48,2.64
-9.6732e-02,1.4,1.16,2.48,2.32
-9.6694e-02,1.4,1.56,2.56,2.56
-9.6656e-02,1.4,1.24,2.48,2.32
-9.6617e-02,1.48,1.64,2.4,2.56
-9.6579e-02,1.4,1.24,2.48,2.32
-9.6540e-02,1.4,1.64,2.48,2.64
-9.6502e-02,1.4,1.24,2.4,2.32
-9.6464e-02,1.48,1.64,2.48,2.56
-9.6425e-02,1.48,1.24,2.48,2.32
-9.6387e-02,1.48,1.64,2.4,2.56
-9.6348e-02,1.48,1.24,2.48,2.24
-9.6310e-02,1.48,1.72,2.4,2.64
-9.6272e-02,1.56,1.32,2.4,2.24
-9.6233e-02,1.48,1.72,2.4,2.56
-9.6195e-02,1.56,1.4,2.48,2.32
-9.6156e-02,1.56,1.72,2.4,2.56
-9.6118e-02,1.72,1.4,2.4,2.32
-9.6080e-02,1.56,1.8,2.4,2.56
