17.16	0.21
18.69	0.46
17.07	0.41
17.32	0.42
16.39	0.41
16.73	0.4
17.2	0.43
15.25	0.36
15.51	0.38
17.71	0.41
16.04	0.4
15.69	0.38
15.54	0.36
19.15	0.45
14.89	0.37
16.39	0.4
17.66	0.43
16.7	0.39
16.11	0.39
15.0	0.35
15.49	0.37
17.03	0.43
15.53	0.34
15.96	0.4
16.99	0.42
16.13	0.39
15.87	0.39
16.76	0.39
15.48	0.37
16.18	0.37
17.54	0.41
18.18	0.42
16.08	0.4
15.18	0.36
17.86	0.39
14.78	0.36
15.85	0.38
15.43	0.38
16.63	0.39
17.2	0.42
15.02	0.35
16.87	0.4
15.78	0.37
18.54	0.45
16.42	0.38
16.64	0.39
17.71	0.39
15.73	0.39
16.63	0.39
15.58	0.37
16.88	0.39
15.48	0.37
15.44	0.37
14.77	0.37
