Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,,,
Horizontal Units,S,,,,,
Horizontal Scale,0.01,,,,,
Sample Interval,1.92012e-05,,,,,
Filter Frequency,2e+08,,,,,
Record Length,5208,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,,10,
Vertical Units,V,,V,,V,
Vertical Offset,0,,0,,0,
Vertical Scale,1,,0.5,,0.2,
Label,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect
4.2360e-02,2.68,2.84,1.06,1.18,-0.084,-0.06
4.2379e-02,2.68,2.52,1.02,0.94,-0.092,-0.108
4.2398e-02,2.68,2.84,1.02,1.22,-0.092,-0.052
4.2418e-02,2.72,2.52,1.04,0.92,-0.06,-0.092
4.2437e-02,2.72,2.84,1.06,1.2,-0.06,-0.036
4.2456e-02,2.72,2.68,1.06,1,-0.06,-0.092
4.2475e-02,2.76,2.8,1.06,1.1,-0.068,-0.036
4.2494e-02,2.76,2.56,1.04,0.94,-0.06,-0.092
4.2514e-02,2.8,2.88,1.02,1.2,-0.068,-0.036
4.2533e-02,2.76,2.56,1.04,0.94,-0.068,-0.092
4.2552e-02,2.76,2.88,1.02,1.18,-0.076,-0.036
4.2571e-02,2.72,2.52,1.04,0.92,-0.06,-0.084
4.2590e-02,2.76,2.88,1.04,1.2,-0.068,-0.036
4.2610e-02,2.72,2.6,1.04,0.94,-0.068,-0.076
4.2629e-02,2.76,2.88,1.06,1.2,-0.068,-0.02
4.2648e-02,2.64,2.56,1.16,0.94,-0.06,-0.076
4.2667e-02,2.76,2.92,1.06,1.2,-0.044,-0.02
4.2686e-02,2.8,2.6,1.04,0.9,-0.052,-0.068
4.2706e-02,2.76,2.92,1.06,1.2,-0.052,-0.028
4.2725e-02,2.8,2.6,1.06,0.92,-0.052,-0.068
4.2744e-02,2.8,2.92,1.04,1.2,-0.036,-0.02
4.2763e-02,2.76,2.6,1.06,0.92,-0.044,-0.068
4.2782e-02,2.8,2.88,1.06,1.2,-0.044,-0.02
4.2802e-02,2.76,2.68,1.06,1,-0.044,-0.06
4.2821e-02,2.8,2.84,1.06,1.1,-0.036,-0.012
4.2840e-02,2.76,2.6,1.04,0.96,-0.044,-0.06
4.2859e-02,2.8,2.92,1.06,1.2,-0.036,-0.004
4.2878e-02,2.8,2.64,1.06,0.94,-0.036,-0.06
4.2898e-02,2.76,2.96,1.06,1.18,-0.036,-0.004
4.2917e-02,2.8,2.6,1.02,0.92,-0.044,-0.06
4.2936e-02,2.76,2.88,1.06,1.22,-0.044,-0.012
4.2955e-02,2.76,2.6,1.04,0.94,-0.036,-0.052
4.2974e-02,2.8,2.88,1.06,1.2,-0.036,-0.004
4.2994e-02,2.76,2.72,1.06,1,-0.028,-0.052
4.3013e-02,2.76,2.84,1.04,1.1,-0.028,-0.004
4.3032e-02,2.76,2.6,1.04,0.94,-0.02,-0.044
4.3051e-02,2.76,2.92,1.06,1.2,-0.012,0.004
4.3070e-02,2.8,2.6,1.06,0.94,-0.012,-0.036
4.3090e-02,2.8,2.96,1.06,1.22,-0.02,0.012
4.3109e-02,2.8,2.6,1.04,0.94,-0.02,-0.036
4.3128e-02,2.8,2.96,1.04,1.2,-0.02,0.012
4.3147e-02,2.8,2.6,1.06,0.94,-0.012,-0.036
4.3166e-02,2.76,2.88,1.04,1.2,-0.012,0.012
4.3186e-02,2.84,2.6,1.06,0.94,-0.012,-0.036
4.3205e-02,2.76,2.92,1.02,1.2,-0.012,0.02
4.3224e-02,2.8,2.6,1.04,0.94,-0.004,-0.028
4.3243e-02,2.76,2.92,1.04,1.22,-0.004,0.02
4.3262e-02,2.8,2.64,1.06,0.96,0.004,-0.02
4.3282e-02,2.8,2.92,1.06,1.2,0.004,0.028
4.3301e-02,2.8,2.64,1.08,0.94,0.004,-0.02
4.3320e-02,2.8,2.92,1.04,1.22,0.004,0.028
4.3339e-02,2.84,2.72,1.04,1,-0.012,-0.02
4.3358e-02,2.8,2.88,1.04,1.1,-0.004,0.028
4.3378e-02,2.8,2.64,1.08,0.94,0.012,-0.02
4.3397e-02,2.84,2.92,1.04,1.2,-0.004,0.028
4.3416e-02,2.8,2.64,1.08,0.94,0.004,-0.02
4.3435e-02,2.8,2.88,1.04,1.2,0.004,0.028
4.3454e-02,2.8,2.64,1.02,0.94,0.004,-0.02
4.3474e-02,2.8,2.92,1.06,1.2,0.004,0.028
4.3493e-02,2.76,2.56,1.06,0.94,0.004,-0.028
4.3512e-02,2.76,2.96,1.04,1.2,0.004,0.036
4.3531e-02,2.76,2.64,1.04,0.98,0.004,-0.02
4.3550e-02,2.72,2.8,1.04,1.08,0.004,0.028
4.3570e-02,2.72,2.48,1.02,0.92,0.004,-0.02
4.3589e-02,2.72,2.92,1.02,1.2,0.004,0.028
4.3608e-02,2.68,2.44,1.06,0.94,-0.004,-0.02
4.3627e-02,2.64,2.84,1.04,1.2,-0.004,0.028
4.3646e-02,2.64,2.4,1.02,0.92,0.004,-0.02
4.3666e-02,2.64,2.84,1.02,1.2,-0.004,0.036
4.3685e-02,2.64,2.44,1.04,0.94,0.004,-0.02
4.3704e-02,2.64,2.72,1.04,1.2,0.004,0.028
4.3723e-02,2.72,2.36,1.02,0.94,0.02,-0.02
4.3742e-02,2.6,2.8,1,1.18,0.004,0.028
4.3762e-02,2.6,2.36,1.02,0.9,0.004,-0.02
4.3781e-02,2.6,2.8,1.02,1.2,0.004,0.028
4.3800e-02,2.6,2.32,1.02,0.9,0.004,-0.028
4.3819e-02,2.56,2.76,1.02,1.22,0.004,0.028
4.3838e-02,2.52,2.28,1.04,0.9,0.004,-0.02
4.3858e-02,2.56,2.76,1.02,1.2,-0.004,0.028
4.3877e-02,2.56,2.44,1.02,0.96,0.004,-0.02
4.3896e-02,2.56,2.6,1.02,1.08,-0.004,0.028
4.3915e-02,2.56,2.28,0.98,0.9,0.004,-0.02
4.3934e-02,2.52,2.72,1,1.2,0.004,0.036
4.3954e-02,2.52,2.24,1,0.88,-0.004,-0.02
4.3973e-02,2.48,2.68,1,1.18,-0.004,0.028
4.3992e-02,2.48,2.24,1.02,0.9,0.004,-0.02
4.4011e-02,2.48,2.68,1.02,1.2,0.004,0.028
4.4030e-02,2.44,2.2,1.02,0.9,0.004,-0.02
4.4050e-02,2.48,2.64,1,1.2,0.012,0.028
4.4069e-02,2.44,2.36,1.02,0.96,0.004,-0.02
4.4088e-02,2.44,2.52,1,1.04,-0.004,0.028
4.4107e-02,2.44,2.16,0.98,0.88,0.004,-0.028
4.4126e-02,2.44,2.6,1,1.18,0.004,0.028
4.4146e-02,2.4,2.12,1.02,0.88,-0.004,-0.028
4.4165e-02,2.44,2.6,0.98,1.18,0.004,0.028
4.4184e-02,2.4,2.12,1,0.9,0.004,-0.02
4.4203e-02,2.4,2.56,1,1.18,0.004,0.028
4.4222e-02,2.4,2.24,0.98,0.92,0.004,-0.02
4.4242e-02,2.36,2.48,0.98,1.08,-0.004,0.028
4.4261e-02,2.16,2.12,0.94,0.88,0.004,-0.02
4.4280e-02,2.36,2.56,1,1.18,0.004,0.028
4.4299e-02,2.36,2.08,0.98,0.88,-0.012,-0.02
4.4318e-02,2.32,2.56,0.98,1.18,0.004,0.028
4.4338e-02,2.36,2.04,0.98,0.86,0.004,-0.02
4.4357e-02,2.36,2.52,0.98,1.18,0.004,0.036
4.4376e-02,2.32,2.04,0.98,0.88,0.004,-0.02
4.4395e-02,2.32,2.48,0.98,1.18,0.012,0.028
4.4414e-02,2.28,2.2,0.96,0.92,0.004,-0.02
4.4434e-02,2.28,2.36,1,1.04,0.004,0.028
4.4453e-02,2.28,2,0.92,0.86,0.012,-0.02
4.4472e-02,2.24,2.48,0.96,1.18,-0.004,0.028
4.4491e-02,2.28,2,0.96,0.86,0.004,-0.02
4.4510e-02,2.24,2.44,0.98,1.14,0.004,0.028
4.4530e-02,2.24,1.96,0.98,0.86,0.004,-0.02
4.4549e-02,2.24,2.44,0.96,1.16,0.004,0.028
4.4568e-02,2.28,1.96,0.96,0.84,0.004,-0.02
4.4587e-02,2.24,2.4,0.96,1.16,0.004,0.028
4.4606e-02,2.24,2.12,0.98,0.92,-0.004,-0.02
4.4626e-02,2.2,2.28,0.96,1.02,0.004,0.028
4.4645e-02,2.24,1.92,0.98,0.84,0.004,-0.02
4.4664e-02,2.2,2.4,0.98,1.14,0.012,0.028
4.4683e-02,2.2,1.92,0.94,0.86,-0.004,-0.02
4.4702e-02,2.24,2.36,1,1.16,0.02,0.028
4.4722e-02,2.2,1.88,0.98,0.84,0.004,-0.028
4.4741e-02,2.16,2.36,0.96,1.16,0.004,0.028
4.4760e-02,2.16,2.04,0.96,0.88,-0.004,-0.02
4.4779e-02,2.16,2.24,0.98,1.06,0.004,0.028
4.4798e-02,2.16,1.88,0.94,0.84,-0.004,-0.02
4.4818e-02,2.12,2.36,0.96,1.16,-0.012,0.028
4.4837e-02,2.12,1.84,0.94,0.84,0.004,-0.02
4.4856e-02,2.16,2.32,0.98,1.14,0.004,0.028
4.4875e-02,2.12,1.88,0.96,0.82,-0.004,-0.02
4.4894e-02,2.12,2.32,0.94,1.16,0.004,0.028
4.4914e-02,2.12,1.84,0.98,0.82,0.004,-0.02
4.4933e-02,2.12,2.28,0.94,1.16,0.004,0.028
4.4952e-02,2.12,2.04,0.94,0.88,-0.004,-0.02
4.4971e-02,2.12,2.16,0.96,1.02,0.004,0.028
4.4990e-02,2.12,1.84,0.94,0.82,0.004,-0.02
4.5010e-02,2.08,2.28,0.94,1.14,-0.004,0.028
4.5029e-02,2.08,1.84,0.94,0.84,0.004,-0.02
4.5048e-02,2.04,2.24,0.96,1.14,-0.004,0.028
4.5067e-02,2.08,1.84,0.94,0.82,0.004,-0.02
4.5086e-02,2.08,2.2,0.96,1.18,0.004,0.036
4.5106e-02,2.04,1.84,0.92,0.8,0.004,-0.02
4.5125e-02,2.04,2.16,0.96,1.18,-0.004,0.028
4.5144e-02,2.08,1.96,0.94,0.88,0.004,-0.02
4.5163e-02,2.04,2.12,0.94,1.02,0.004,0.028
4.5182e-02,2.04,1.8,0.94,0.8,0.004,-0.02
4.5202e-02,2.04,2.16,0.94,1.18,-0.004,0.028
4.5221e-02,2.04,1.84,0.94,0.82,0.004,-0.02
4.5240e-02,2.04,2.16,0.9,1.14,-0.004,0.036
4.5259e-02,2,1.84,0.94,0.84,0.004,-0.02
4.5278e-02,2,2.16,0.94,1.12,0.004,0.028
4.5298e-02,2,1.92,0.94,0.88,0.012,-0.02
4.5317e-02,2,2.08,0.94,1.02,0.004,0.028
4.5336e-02,2.04,1.88,0.94,0.86,0.004,-0.02
4.5355e-02,2,2.12,0.94,1.1,0.012,0.028
4.5375e-02,2,1.88,0.94,0.82,0.004,-0.02
4.5394e-02,2,2.16,0.96,1.1,0.004,0.028
4.5413e-02,2,1.88,0.94,0.82,0.004,-0.02
4.5432e-02,1.96,2.12,0.92,1.1,0.004,0.028
4.5451e-02,1.96,1.84,0.94,0.82,0.004,-0.02
4.5471e-02,1.96,2.12,0.94,1.1,0.004,0.028
4.5490e-02,1.96,1.92,0.92,0.88,0.004,-0.02
4.5509e-02,1.96,2.04,0.94,1,-0.004,0.028
4.5528e-02,1.96,1.88,0.94,0.84,0.012,-0.028
4.5547e-02,1.96,2.08,0.94,1.1,0.012,0.028
4.5567e-02,1.96,1.88,0.92,0.86,-0.004,-0.02
4.5586e-02,2,2.08,0.94,1.06,-0.004,0.028
4.5605e-02,1.96,1.88,0.96,0.84,0.004,-0.02
4.5624e-02,1.96,2.08,0.96,1.08,0.004,0.028
4.5643e-02,1.96,1.84,0.92,0.84,0.012,-0.02
4.5663e-02,1.96,2.04,0.92,1.06,0.004,0.028
4.5682e-02,1.92,1.88,0.94,0.88,0.004,-0.02
4.5701e-02,1.92,2,0.94,1,-0.004,0.028
4.5720e-02,1.96,1.88,0.92,0.84,0.004,-0.02
4.5739e-02,1.88,2.04,0.94,1.04,-0.004,0.028
4.5759e-02,1.92,1.84,0.94,0.86,0.004,-0.02
4.5778e-02,1.92,2.04,0.98,1.04,-0.004,0.028
4.5797e-02,1.92,1.84,0.94,0.86,0.004,-0.02
4.5816e-02,1.92,2,0.92,1.04,-0.004,0.028
4.5835e-02,1.92,1.84,0.94,0.88,0.004,-0.02
4.5855e-02,1.88,1.96,0.92,1,-0.004,0.028
4.5874e-02,1.92,1.84,0.94,0.86,0.004,-0.02
4.5893e-02,1.88,2,0.94,1.06,-0.004,0.036
4.5912e-02,1.92,1.84,0.92,0.88,0.004,-0.02
4.5931e-02,1.88,1.96,0.92,1,0.004,0.028
4.5951e-02,1.88,1.84,0.94,0.86,0.012,-0.02
4.5970e-02,1.88,1.96,0.94,1,-0.004,0.028
4.5989e-02,1.88,1.8,0.94,0.86,-0.004,-0.02
4.6008e-02,1.88,1.96,0.92,1,0.004,0.028
4.6027e-02,1.88,1.8,0.94,0.84,0.004,-0.02
4.6047e-02,1.84,1.92,0.92,1,0.012,0.028
4.6066e-02,1.88,1.8,0.92,0.86,-0.004,-0.02
4.6085e-02,1.88,1.92,0.92,1,0.004,0.028
4.6104e-02,1.84,1.8,0.94,0.86,0.004,-0.02
4.6123e-02,1.84,1.92,0.9,1,0.004,0.028
4.6143e-02,1.84,1.8,0.92,0.86,0.02,-0.02
4.6162e-02,1.84,1.92,0.92,1,0.004,0.028
4.6181e-02,1.84,1.76,0.92,0.86,-0.012,-0.02
4.6200e-02,1.84,1.92,0.92,1,0.004,0.028
4.6219e-02,1.84,1.8,0.92,0.84,0.02,-0.02
4.6239e-02,1.84,1.92,0.9,1,-0.004,0.028
4.6258e-02,1.84,1.8,0.92,0.84,0.004,-0.02
4.6277e-02,1.84,1.92,0.94,0.98,0.004,0.028
4.6296e-02,1.88,1.8,0.92,0.84,-0.004,-0.02
4.6315e-02,1.84,1.92,0.92,1,-0.004,0.028
4.6335e-02,1.88,1.76,0.92,0.86,0.004,-0.02
4.6354e-02,1.84,1.92,0.94,1,0.004,0.028
4.6373e-02,1.84,1.76,0.92,0.86,0.004,-0.02
4.6392e-02,1.8,1.88,0.92,1,0.004,0.028
4.6411e-02,1.84,1.76,0.92,0.86,-0.004,-0.02
4.6431e-02,1.84,1.88,0.94,0.98,0.004,0.028
4.6450e-02,1.8,1.76,0.92,0.84,-0.004,-0.02
4.6469e-02,1.84,1.88,0.94,0.98,-0.004,0.028
4.6488e-02,1.84,1.76,0.92,0.84,-0.004,-0.02
4.6507e-02,1.8,1.88,0.92,1,-0.012,0.028
4.6527e-02,1.84,1.76,0.9,0.86,0.004,-0.02
4.6546e-02,1.8,1.88,0.92,0.98,0.012,0.028
4.6565e-02,1.8,1.72,0.92,0.86,0.004,-0.02
4.6584e-02,1.8,1.88,0.94,0.98,0.004,0.028
4.6603e-02,1.8,1.76,0.9,0.86,0.012,-0.02
4.6623e-02,1.84,1.88,0.92,1.02,-0.004,0.06
4.6642e-02,1.84,1.8,0.96,0.92,0.036,0.028
4.6661e-02,1.92,2,0.98,1.06,0.068,0.108
4.6680e-02,1.96,1.92,1.02,0.96,0.1,0.068
4.6699e-02,2.08,2.16,1.06,1.14,0.1,0.148
4.6719e-02,2.12,2.08,1.06,1.02,0.132,0.108
4.6738e-02,2.2,2.32,1.08,1.16,0.156,0.172
4.6757e-02,2.28,2.2,1.1,1.02,0.172,0.124
4.6776e-02,2.36,2.48,1.12,1.16,0.148,0.172
4.6795e-02,2.4,2.32,1.08,1.02,0.148,0.132
4.6815e-02,2.48,2.6,1.1,1.16,0.164,0.188
4.6834e-02,2.56,2.48,1.12,1.02,0.172,0.14
4.6853e-02,2.6,2.72,1.12,1.18,0.172,0.204
4.6872e-02,2.64,2.6,1.12,1.04,0.18,0.164
4.6891e-02,2.72,2.8,1.12,1.16,0.188,0.212
4.6911e-02,2.76,2.72,1.12,1.06,0.188,0.172
4.6930e-02,2.84,2.92,1.14,1.2,0.204,0.236
4.6949e-02,2.92,2.84,1.14,1.06,0.22,0.188
4.6968e-02,2.96,3.08,1.14,1.22,0.228,0.236
4.6987e-02,3,2.88,1.14,1.06,0.212,0.18
4.7007e-02,3.04,3.12,1.16,1.2,0.196,0.236
4.7026e-02,3.04,3,1.14,1.08,0.212,0.196
4.7045e-02,3.08,3.16,1.16,1.26,0.228,0.244
4.7064e-02,3.16,3.04,1.16,1.06,0.236,0.212
4.7083e-02,3.16,3.24,1.16,1.22,0.228,0.26
4.7103e-02,3.2,3.12,1.14,1.1,0.244,0.212
4.7122e-02,3.2,3.28,1.18,1.22,0.244,0.268
4.7141e-02,3.2,3.16,1.14,1.08,0.244,0.22
4.7160e-02,3.28,3.36,1.16,1.22,0.244,0.268
4.7179e-02,3.32,3.2,1.14,1.06,0.236,0.212
4.7199e-02,3.28,3.36,1.14,1.2,0.236,0.26
4.7218e-02,3.28,3.2,1.12,1.06,0.244,0.22
4.7237e-02,3.28,3.36,1.16,1.22,0.252,0.276
4.7256e-02,3.28,3.24,1.16,1.08,0.26,0.236
4.7275e-02,3.32,3.4,1.16,1.24,0.268,0.284
4.7295e-02,3.32,3.24,1.16,1.08,0.26,0.236
4.7314e-02,3.32,3.4,1.16,1.22,0.26,0.284
4.7333e-02,3.36,3.24,1.18,1.1,0.26,0.244
4.7352e-02,3.36,3.4,1.16,1.24,0.268,0.292
4.7371e-02,3.32,3.16,1.16,1.08,0.276,0.244
4.7391e-02,3.32,3.4,1.16,1.2,0.26,0.292
4.7410e-02,3.32,3.24,1.16,1.06,0.26,0.252
4.7429e-02,3.36,3.4,1.16,1.22,0.284,0.316
4.7448e-02,3.36,3.28,1.16,1.1,0.292,0.268
4.7467e-02,3.36,3.44,1.18,1.24,0.3,0.316
4.7487e-02,3.4,3.32,1.18,1.08,0.3,0.268
4.7506e-02,3.4,3.44,1.14,1.24,0.292,0.316
4.7525e-02,3.4,3.32,1.18,1.08,0.292,0.276
4.7544e-02,3.4,3.44,1.18,1.24,0.292,0.324
4.7563e-02,3.4,3.32,1.16,1.1,0.3,0.284
4.7583e-02,3.4,3.48,1.18,1.26,0.308,0.332
4.7602e-02,3.4,3.36,1.16,1.12,0.308,0.292
4.7621e-02,3.4,3.48,1.12,1.24,0.316,0.34
4.7640e-02,3.44,3.36,1.18,1.12,0.332,0.308
4.7659e-02,3.44,3.52,1.18,1.26,0.34,0.356
4.7679e-02,3.48,3.4,1.22,1.12,0.34,0.308
4.7698e-02,3.52,3.56,1.18,1.24,0.348,0.356
4.7717e-02,3.52,3.4,1.16,1.1,0.324,0.308
4.7736e-02,3.48,3.56,1.2,1.26,0.332,0.364
4.7755e-02,3.48,3.4,1.18,1.1,0.332,0.316
4.7775e-02,3.48,3.56,1.16,1.26,0.34,0.372
4.7794e-02,3.52,3.32,1.2,1.12,0.34,0.324
4.7813e-02,3.52,3.56,1.2,1.26,0.348,0.38
4.7832e-02,3.52,3.44,1.2,1.14,0.356,0.34
4.7851e-02,3.48,3.56,1.22,1.26,0.372,0.396
4.7871e-02,3.48,3.24,1.22,1.12,0.364,0.34
4.7890e-02,3.4,3.56,1.22,1.28,0.372,0.396
4.7909e-02,3.32,3.24,1.2,1.12,0.364,0.34
4.7928e-02,3.32,3.36,1.2,1.24,0.372,0.388
4.7947e-02,3.36,3.24,1.16,1.12,0.372,0.348
4.7967e-02,3.32,3.36,1.2,1.26,0.364,0.396
4.7986e-02,3.32,3.24,1.18,1.12,0.364,0.356
4.8005e-02,3.32,3.36,1.2,1.24,0.38,0.404
4.8024e-02,3.32,3.2,1.18,1.14,0.388,0.364
4.8043e-02,3.28,3.36,1.18,1.26,0.396,0.412
4.8063e-02,3.32,3.24,1.2,1.14,0.396,0.364
4.8082e-02,3.32,3.36,1.2,1.24,0.396,0.412
4.8101e-02,3.32,3.2,1.18,1.12,0.396,0.348
4.8120e-02,3.32,3.36,1.16,1.22,0.38,0.404
4.8139e-02,3.32,3.24,1.16,1.1,0.38,0.356
4.8159e-02,3.28,3.36,1.16,1.24,0.38,0.404
4.8178e-02,3.28,3.24,1.16,1.12,0.388,0.372
4.8197e-02,3.32,3.36,1.18,1.22,0.388,0.42
4.8216e-02,3.32,3.24,1.18,1.12,0.388,0.372
4.8235e-02,3.32,3.36,1.18,1.24,0.404,0.428
4.8255e-02,3.32,3.24,1.18,1.14,0.412,0.38
4.8274e-02,3.28,3.36,1.18,1.24,0.412,0.436
4.8293e-02,3.32,3.24,1.16,1.1,0.404,0.364
4.8312e-02,3.32,3.36,1.18,1.22,0.388,0.428
4.8331e-02,3.32,3.24,1.16,1.06,0.388,0.356
4.8351e-02,3.32,3.36,1.14,1.2,0.388,0.404
4.8370e-02,3.28,3.24,1.16,1.06,0.38,0.364
4.8389e-02,3.32,3.36,1.12,1.22,0.396,0.412
4.8408e-02,3.32,3.24,1.16,1.08,0.396,0.372
4.8427e-02,3.32,3.36,1.12,1.2,0.388,0.42
4.8447e-02,3.32,3.24,1.16,1.1,0.388,0.38
4.8466e-02,3.32,3.36,1.14,1.2,0.396,0.428
4.8485e-02,3.28,3.24,1.14,1.06,0.404,0.356
4.8504e-02,3.28,3.36,1.14,1.18,0.396,0.42
4.8524e-02,3.32,3.24,1.1,1.04,0.38,0.34
4.8543e-02,3.32,3.36,1.06,1.16,0.364,0.396
4.8562e-02,3.32,3.24,1.04,1.02,0.372,0.34
4.8581e-02,3.32,3.36,1.1,1.14,0.364,0.388
4.8600e-02,3.32,3.2,1.08,1.04,0.364,0.348
4.8620e-02,3.32,3.36,1.08,1.14,0.372,0.404
4.8639e-02,3.32,3.24,1.1,1.04,0.388,0.364
4.8658e-02,3.28,3.36,1.08,1.16,0.388,0.412
4.8677e-02,3.32,3.24,1.1,1.04,0.388,0.356
4.8696e-02,3.32,3.36,1.12,1.16,0.38,0.412
4.8716e-02,3.32,3.24,1.12,1,0.364,0.332
4.8735e-02,3.28,3.36,1.06,1.12,0.364,0.396
4.8754e-02,3.32,3.2,1.08,0.84,0.364,0.324
4.8773e-02,3.32,3.48,1.04,1.3,0.348,0.388
4.8792e-02,3.44,3.16,1.06,0.8,0.372,0.324
4.8812e-02,3.44,3.6,1.06,1.36,0.364,0.388
4.8831e-02,3.36,3.04,1.06,0.82,0.38,0.34
4.8850e-02,3.24,3.44,1.06,1.38,0.372,0.412
4.8869e-02,3.16,2.88,1.06,0.98,0.372,0.348
4.8888e-02,3.08,3.2,1.08,1.16,0.38,0.396
4.8908e-02,3,2.8,1.04,0.82,0.364,0.324
4.8927e-02,2.92,3.24,1.02,1.38,0.356,0.396
4.8946e-02,2.84,2.64,1.02,0.78,0.34,0.308
4.8965e-02,2.76,3.08,1.04,1.32,0.34,0.372
4.8984e-02,2.68,2.44,1,0.78,0.34,0.308
4.9004e-02,2.56,2.84,1.02,1.32,0.34,0.38
4.9023e-02,2.56,2.32,1.04,0.8,0.332,0.316
4.9042e-02,2.52,2.72,1.02,1.32,0.34,0.38
4.9061e-02,2.48,2.36,1.02,0.96,0.356,0.324
4.9080e-02,2.44,2.52,1.02,1.08,0.348,0.372
4.9100e-02,2.44,2.24,1.02,0.78,0.348,0.3
4.9119e-02,2.36,2.64,0.98,1.34,0.324,0.372
4.9138e-02,2.32,2.12,0.96,0.74,0.308,0.276
4.9157e-02,2.28,2.52,0.96,1.26,0.316,0.34
4.9176e-02,2.2,1.96,0.96,0.72,0.3,0.268
4.9196e-02,2.16,2.36,0.98,1.28,0.3,0.332
4.9215e-02,2.08,1.88,0.94,0.74,0.3,0.276
4.9234e-02,2.04,2.28,0.96,1.26,0.308,0.332
4.9253e-02,1.96,1.88,0.94,0.9,0.308,0.284
4.9272e-02,2,2.04,0.96,1,0.308,0.332
4.9292e-02,1.96,1.8,0.94,0.74,0.308,0.26
4.9311e-02,1.92,2.2,0.92,1.26,0.284,0.332
4.9330e-02,1.84,1.68,0.96,0.68,0.276,0.236
4.9349e-02,1.76,2.04,0.88,1.22,0.284,0.3
4.9368e-02,1.76,1.52,0.88,0.7,0.268,0.228
4.9388e-02,1.72,1.92,0.9,1.18,0.26,0.292
4.9407e-02,1.64,1.52,0.88,0.82,0.252,0.236
4.9426e-02,1.6,1.72,0.9,1,0.252,0.284
4.9445e-02,1.6,1.44,0.92,0.68,0.268,0.228
4.9464e-02,1.56,1.84,0.92,1.22,0.268,0.3
4.9484e-02,1.56,1.4,0.88,0.68,0.276,0.228
4.9503e-02,1.56,1.8,0.9,1.2,0.26,0.284
4.9522e-02,1.52,1.32,0.88,0.64,0.252,0.204
4.9541e-02,1.44,1.72,0.82,1.16,0.244,0.268
4.9560e-02,1.44,1.2,0.88,0.62,0.228,0.18
4.9580e-02,1.4,1.56,0.86,1.14,0.204,0.244
4.9599e-02,1.36,1.24,0.84,0.76,0.22,0.196
4.9618e-02,1.32,1.4,0.86,0.92,0.228,0.244
4.9637e-02,1.28,1.12,0.86,0.62,0.22,0.18
4.9656e-02,1.24,1.52,0.84,1.14,0.212,0.244
4.9676e-02,1.28,1.08,0.86,0.62,0.228,0.18
4.9695e-02,1.24,1.48,0.84,1.16,0.212,0.244
4.9714e-02,1.2,1,0.86,0.6,0.212,0.148
4.9733e-02,1.16,1.4,0.82,1.14,0.196,0.228
4.9752e-02,1.16,0.92,0.82,0.56,0.188,0.14
4.9772e-02,1.12,1.32,0.8,1.08,0.18,0.204
4.9791e-02,1.04,0.88,0.8,0.64,0.172,0.148
4.9810e-02,1,1.12,0.78,0.92,0.172,0.204
4.9829e-02,1,0.84,0.8,0.56,0.18,0.148
4.9848e-02,1,1.24,0.8,1.1,0.18,0.212
4.9868e-02,0.96,0.8,0.8,0.58,0.18,0.148
4.9887e-02,0.84,1.2,0.66,1.1,0.188,0.204
4.9906e-02,0.96,0.8,0.82,0.56,0.18,0.124
4.9925e-02,0.92,1.16,0.82,1.1,0.172,0.196
4.9944e-02,0.92,0.76,0.82,0.72,0.156,0.132
4.9964e-02,0.88,0.96,0.78,0.86,0.148,0.18
4.9983e-02,0.88,0.72,0.78,0.54,0.14,0.116
5.0002e-02,0.8,1.12,0.78,1.08,0.14,0.18
5.0021e-02,0.8,0.64,0.8,0.54,0.156,0.108
5.0040e-02,0.76,1.04,0.78,1.1,0.156,0.18
5.0060e-02,0.8,0.64,0.8,0.56,0.148,0.124
5.0079e-02,0.84,1.04,0.86,1.08,0.156,0.188
5.0098e-02,0.76,0.6,0.78,0.56,0.156,0.108
5.0117e-02,0.76,1,0.8,1.1,0.132,0.172
5.0136e-02,0.76,0.68,0.76,0.72,0.148,0.108
5.0156e-02,0.72,0.84,0.74,0.82,0.132,0.156
5.0175e-02,0.76,0.56,0.78,0.54,0.148,0.1
5.0194e-02,0.72,0.96,0.76,1.06,0.132,0.156
5.0213e-02,0.68,0.56,0.78,0.52,0.132,0.092
5.0232e-02,0.68,0.96,0.8,1.08,0.14,0.164
5.0252e-02,0.68,0.56,0.78,0.54,0.124,0.1
5.0271e-02,0.68,0.96,0.78,1.08,0.132,0.164
5.0290e-02,0.68,0.56,0.78,0.54,0.14,0.084
5.0309e-02,0.68,0.96,0.78,1.08,0.132,0.156
5.0328e-02,0.68,0.6,0.76,0.7,0.124,0.092
5.0348e-02,0.68,0.76,0.76,0.82,0.124,0.14
5.0367e-02,0.64,0.48,0.74,0.52,0.124,0.076
5.0386e-02,0.64,0.92,0.76,1.06,0.108,0.148
5.0405e-02,0.64,0.48,0.76,0.54,0.1,0.068
5.0424e-02,0.84,0.88,1.02,1.06,0.092,0.14
5.0444e-02,0.64,0.48,0.76,0.52,0.116,0.076
5.0463e-02,0.64,0.88,0.76,1.06,0.108,0.132
5.0482e-02,0.64,0.52,0.78,0.68,0.108,0.076
5.0501e-02,0.64,0.72,0.76,0.84,0.108,0.124
