Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.000768049,
Filter Frequency,2e+08,
Record Length,5200,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,5,
Label,,
TIME,CH1,CH1 Peak Detect
-1.8564e+00,9.6,10.2
-1.8556e+00,9.8,9.2
-1.8548e+00,9.6,10.2
-1.8541e+00,9.6,9.2
-1.8533e+00,9.8,10.2
-1.8525e+00,9.6,9.2
-1.8518e+00,9.8,10.2
-1.8510e+00,9.6,9.2
-1.8502e+00,9.8,10.2
-1.8495e+00,9.8,9.2
-1.8487e+00,9.6,10.2
-1.8479e+00,9.6,9.2
-1.8472e+00,9.6,10
-1.8464e+00,9.8,9
-1.8456e+00,9.8,10
-1.8449e+00,9.6,9
-1.8441e+00,9.4,10
-1.8433e+00,9.4,9
-1.8425e+00,9.4,10
-1.8418e+00,9.4,9.2
-1.8410e+00,9.6,10
-1.8402e+00,9.6,9.2
-1.8395e+00,9.6,10.2
-1.8387e+00,9.8,9.2
-1.8379e+00,9.8,10.2
-1.8372e+00,9.8,9.2
-1.8364e+00,9.8,10.2
-1.8356e+00,9.8,9.4
-1.8349e+00,9.6,10.2
-1.8341e+00,9.6,9.2
-1.8333e+00,9.6,10.2
-1.8326e+00,9.6,9.2
-1.8318e+00,9.8,10.2
-1.8310e+00,9.4,9.2
-1.8303e+00,9.6,10.2
-1.8295e+00,9.6,9.2
-1.8287e+00,9.6,10
-1.8280e+00,9.4,9
-1.8272e+00,9.6,10
-1.8264e+00,9.4,9
-1.8257e+00,9.6,10
-1.8249e+00,9.4,9
-1.8241e+00,9.4,10
-1.8233e+00,9.4,9.2
-1.8226e+00,9.6,10.2
-1.8218e+00,9.6,9.2
-1.8210e+00,9.6,10.2
-1.8203e+00,9.6,9.2
-1.8195e+00,9.6,10.2
-1.8187e+00,9.8,9.2
-1.8180e+00,9.6,10.2
-1.8172e+00,9.8,9.2
-1.8164e+00,9.8,10.2
-1.8157e+00,9.4,9.2
-1.8149e+00,9.6,10.2
-1.8141e+00,9.6,9.2
-1.8134e+00,9.6,10
-1.8126e+00,9.6,9
-1.8118e+00,9.4,10
-1.8111e+00,9.6,9
-1.8103e+00,9.6,10
-1.8095e+00,9.4,9
-1.8088e+00,9.4,10
-1.8080e+00,9.6,9
-1.8072e+00,9.8,10.2
-1.8065e+00,9.8,9.2
-1.8057e+00,9.8,10.2
-1.8049e+00,9.4,9.2
-1.8041e+00,9.6,10.2
-1.8034e+00,9.6,9.2
-1.8026e+00,9.8,10.2
-1.8018e+00,9.6,9.2
-1.8011e+00,9.6,10.2
-1.8003e+00,9.8,9.2
-1.7995e+00,9.8,10.2
-1.7988e+00,9.8,9.2
-1.7980e+00,9.6,10.2
-1.7972e+00,9.6,9.2
-1.7965e+00,9.6,10
-1.7957e+00,9.6,9
-1.7949e+00,9.4,10
