122.39	0.97
123.07	0.97
123.45	0.96
122.87	0.97
122.64	0.98
124.43	0.97
122.64	0.96
123.54	0.96
123.8	0.97
123.15	0.98
122.37	0.95
123.18	0.96
125.41	0.96
122.0	0.97
123.12	0.97
125.97	0.97
123.96	0.96
124.98	0.97
123.89	0.97
122.33	0.97
121.19	0.96
123.18	0.96
125.45	0.98
122.07	0.98
123.14	0.96
123.13	0.95
123.13	0.97
124.8	0.97
123.25	0.97
123.31	0.95
122.73	0.96
122.76	0.97
120.85	0.95
123.88	0.97
123.46	0.96
122.58	0.97
122.92	0.98
125.19	0.98
123.25	0.96
121.88	0.96
124.53	0.99
123.45	0.98
122.29	0.96
125.82	0.97
121.39	0.97
122.82	0.97
120.83	0.96
123.34	0.96
125.75	0.98
121.39	0.97
122.41	0.97
126.26	0.97
124.26	0.97
122.89	0.97
122.59	0.96
121.09	0.95
125.27	0.96
123.29	0.97
121.58	0.97
124.67	0.97
124.0	0.96
122.6	0.97
122.2	0.97
124.11	0.97
121.87	0.96
123.59	0.96
121.97	0.98
123.75	0.97
125.13	0.97
124.11	0.96
124.72	0.97
123.34	0.97
122.0	0.97
123.79	0.96
124.17	0.97
124.02	0.98
122.64	0.98
126.51	0.97
125.51	0.96
124.67	0.98
124.22	0.96
122.36	0.96
122.59	0.96
124.03	0.96
122.7	0.98
123.67	0.96
122.66	0.96
123.03	0.96
123.89	0.98
122.39	0.98
123.97	0.97
123.56	0.95
121.81	0.97
124.05	0.98
123.49	0.97
122.34	0.97
123.71	0.98
122.79	0.97
124.46	0.97
124.13	0.97
125.28	0.97
