239.25	0.32
459.01	0.93
460.17	0.93
461.39	0.95
456.52	0.96
460.69	0.95
457.21	0.93
459.59	0.94
461.16	0.95
459.77	0.96
459.48	0.95
458.32	0.93
461.39	0.94
459.3	0.96
461.45	0.96
459.65	0.94
462.96	0.95
459.36	0.96
461.51	0.95
457.27	0.94
459.42	0.94
461.1	0.96
456.11	0.95
461.45	0.95
457.85	0.93
461.56	0.94
460.69	0.96
459.77	0.96
461.68	0.94
459.88	0.93
461.16	0.95
456.63	0.96
458.66	0.95
456.92	0.93
460.52	0.94
460.58	0.96
458.84	0.96
460.35	0.94
456.23	0.93
461.1	0.95
457.16	0.96
460.11	0.95
458.61	0.93
460.06	0.94
459.82	0.96
458.78	0.96
458.66	0.94
459.36	0.93
463.07	0.95
457.85	0.96
458.78	0.95
458.08	0.94
460.98	0.94
459.82	0.95
458.03	0.96
460.06	0.94
456.69	0.93
463.07	0.95
458.2	0.96
460.69	0.96
457.79	0.94
