# Count	Voltage	Current
0	5835.599999999999	0.139
1	-33.6	0.09266666666666667
2	-58.199999999999996	0.09266666666666667
3	-91.8	0.04633333333333334
4	-119.39999999999999	0
5	-134.4	0
6	-156	0
7	-171	0.04633333333333334
8	-170.4	0.04633333333333334
9	-174.6	0
10	-176.4	0
11	-174.6	-0.04633333333333334
12	-175.79999999999998	-0.09266666666666667
13	-176.4	-0.139
14	-172.2	-0.2316666666666667
15	-126	-0.2316666666666667
16	-116.39999999999999	-0.18533333333333335
17	-83.39999999999999	-0.2316666666666667
18	-54.6	-0.18533333333333335
19	-43.199999999999996	-0.09266666666666667
20	-15	-0.04633333333333334
21	12.6	0
22	42	0.04633333333333334
23	57.599999999999994	0.09266666666666667
24	91.2	0.18533333333333335
25	115.8	0.32433333333333336
26	133.79999999999998	0.41700000000000004
27	156	0.4633333333333334
28	169.79999999999998	0.5096666666666667
29	169.2	0.5096666666666667
30	172.2	0.556
31	175.2	0.6023333333333334
32	173.4	0.6486666666666667
33	174	0.7413333333333334
34	174.6	0.7876666666666667
35	170.4	0.7876666666666667
36	124.8	0.7876666666666667
37	115.19999999999999	0.8340000000000001
38	82.2	0.8340000000000001
39	59.4	0.8340000000000001
40	44.4	0.7876666666666667
41	25.8	0.6486666666666667
42	-1.2	0.5096666666666667
43	-33.6	0.41700000000000004
44	-57.599999999999994	0.3706666666666667
45	-85.2	0.3706666666666667
46	-111.6	0.3706666666666667
47	-132.6	0.278
48	-150.6	0.18533333333333335
49	-171	0.09266666666666667
50	-169.79999999999998	0.04633333333333334
51	-175.79999999999998	0
52	-177	-0.04633333333333334
53	-174.6	-0.09266666666666667
54	-175.2	-0.139
55	-175.79999999999998	-0.139
56	-172.2	-0.139
57	-126	-0.18533333333333335
58	-117	-0.2316666666666667
59	-83.39999999999999	-0.278
60	-60	-0.3706666666666667
61	-43.199999999999996	-0.3706666666666667
62	-14.399999999999999	-0.32433333333333336
63	-18	-0.32433333333333336
64	41.4	-0.278
65	57.599999999999994	-0.2316666666666667
66	91.8	-0.139
67	115.8	-0.139
68	132	-0.139
69	156	-0.18533333333333335
70	169.79999999999998	-0.139
71	169.2	-0.09266666666666667
72	172.79999999999998	-0.09266666666666667
73	174	-0.04633333333333334
74	173.4	0
75	174.6	0.04633333333333334
76	174	0.139
77	170.4	0.18533333333333335
78	124.8	0.2316666666666667
79	115.8	0.2316666666666667
80	81.6	0.2316666666666667
81	59.4	0.18533333333333335
82	44.4	0.09266666666666667
83	25.2	0.09266666666666667
84	-1.2	0.09266666666666667
85	-33.6	0.139
86	-58.8	0.09266666666666667
87	-85.2	0.09266666666666667
88	-111.6	0
89	-132.6	-0.09266666666666667
90	-156.6	-0.139
91	-171	-0.18533333333333335
92	-171	-0.18533333333333335
93	-174	-0.2316666666666667
94	-175.79999999999998	-0.278
95	-175.2	-0.3706666666666667
96	-176.4	-0.4633333333333334
97	-177	-0.556
98	-172.2	-0.556
99	-126.6	-0.6023333333333334
100	-118.19999999999999	-0.6486666666666667
101	-82.8	-0.6486666666666667
102	-55.8	-0.556
103	-43.199999999999996	-0.5096666666666667
104	-21.599999999999998	-0.4633333333333334
105	13.2	-0.4633333333333334
106	42	-0.41700000000000004
107	56.4	-0.32433333333333336
108	91.8	-0.2316666666666667
109	115.8	-0.139
110	130.79999999999998	-0.04633333333333334
111	156	0.04633333333333334
112	169.79999999999998	0.09266666666666667
113	169.2	0.09266666666666667
114	172.79999999999998	0.04633333333333334
115	175.2	0.04633333333333334
116	173.4	0.09266666666666667
117	174.6	0.139
118	174	0.18533333333333335
119	169.79999999999998	0.2316666666666667
120	124.19999999999999	0.2316666666666667
121	115.19999999999999	0.2316666666666667
122	82.2	0.2316666666666667
123	59.4	0.2316666666666667
124	44.4	0.18533333333333335
125	25.2	0.139
126	-1.2	0.09266666666666667
127	-33.6	0
128	-57.599999999999994	-0.04633333333333334
129	-84.6	-0.04633333333333334
130	-112.2	-0.04633333333333334
131	-135	-0.04633333333333334
132	-156	0
133	-171	-0.04633333333333334
134	-170.4	-0.04633333333333334
135	-174.6	0
136	-176.4	0
137	-175.2	-0.04633333333333334
138	-175.79999999999998	-0.139
139	-175.79999999999998	-0.18533333333333335
140	-172.2	-0.2316666666666667
141	-126	-0.2316666666666667
142	-117	-0.2316666666666667
143	-82.8	-0.2316666666666667
144	-55.199999999999996	-0.18533333333333335
145	-43.199999999999996	-0.18533333333333335
146	-15.6	-0.139
147	13.799999999999999	-0.09266666666666667
148	42	-0.09266666666666667
149	58.199999999999996	0.04633333333333334
150	90.6	0.139
151	115.8	0.2316666666666667
152	133.2	0.32433333333333336
153	156	0.3706666666666667
154	169.2	0.3706666666666667
155	169.2	0.3706666666666667
156	172.79999999999998	0.3706666666666667
157	174.6	0.3706666666666667
158	173.4	0.3706666666666667
159	174	0.41700000000000004
160	174	0.4633333333333334
161	170.4	0.5096666666666667
162	125.39999999999999	0.5096666666666667
163	114.6	0.5096666666666667
164	82.8	0.5096666666666667
165	58.8	0.556
166	45	0.556
167	25.2	0.5096666666666667
168	-1.2	0.4633333333333334
169	-34.199999999999996	0.3706666666666667
170	-57.599999999999994	0.32433333333333336
171	-84.6	0.2316666666666667
172	-112.8	0.139
173	-134.4	0.09266666666666667
174	-156.6	0.04633333333333334
175	-171	0
176	-170.4	0
177	-174.6	0
178	-175.79999999999998	0
179	-175.2	0
180	-175.79999999999998	-0.04633333333333334
181	-175.79999999999998	-0.139
182	-171.6	-0.18533333333333335
183	-126	-0.18533333333333335
184	-116.39999999999999	-0.278
185	-83.39999999999999	-0.278
186	-54.6	-0.278
187	-42.6	-0.2316666666666667
188	-15.6	-0.18533333333333335
189	13.2	-0.139
190	42	-0.09266666666666667
191	58.199999999999996	0
192	90.6	0.04633333333333334
193	115.8	0.09266666666666667
194	133.79999999999998	0.139
195	156	0.18533333333333335
196	169.79999999999998	0.2316666666666667
197	169.2	0.278
198	172.79999999999998	0.278
199	174.6	0.278
200	173.4	0.278
201	174	0.32433333333333336
202	174.6	0.3706666666666667
203	170.4	0.41700000000000004
204	124.8	0.4633333333333334
205	115.19999999999999	0.4633333333333334
206	82.8	0.4633333333333334
207	59.4	0.4633333333333334
208	44.4	0.41700000000000004
209	25.8	0.3706666666666667
210	-1.2	0.3706666666666667
211	-33.6	0.3706666666666667
212	-57.599999999999994	0.32433333333333336
213	-84.6	0.18533333333333335
214	-112.8	0.18533333333333335
215	-134.4	0.139
216	-156.6	0.09266666666666667
217	-171	0.09266666666666667
218	-170.4	0.04633333333333334
219	-174.6	0.04633333333333334
220	-176.4	0
221	-174.6	0
222	-175.79999999999998	-0.04633333333333334
223	-175.79999999999998	-0.139
224	-172.2	-0.139
225	-125.39999999999999	-0.139
226	-117	-0.18533333333333335
227	-83.39999999999999	-0.2316666666666667
228	-55.199999999999996	-0.2316666666666667
229	-42.6	-0.18533333333333335
230	-16.2	-0.139
231	13.799999999999999	-0.09266666666666667
232	42.6	-0.04633333333333334
233	58.199999999999996	0
234	91.2	0.04633333333333334
235	115.19999999999999	0.04633333333333334
236	133.79999999999998	0.04633333333333334
237	156	0.04633333333333334
238	169.2	0.09266666666666667
239	169.2	0.04633333333333334
240	172.2	0.04633333333333334
241	174.6	0.04633333333333334
242	173.4	0.09266666666666667
243	174	0.139
244	174.6	0.18533333333333335
245	170.4	0.2316666666666667
246	124.19999999999999	0.2316666666666667
247	115.19999999999999	0.2316666666666667
248	82.2	0.2316666666666667
249	59.4	0.2316666666666667
250	44.4	0.139
251	25.8	0
252	-1.2	-0.04633333333333334
253	-34.199999999999996	-0.04633333333333334
254	-58.199999999999996	-0.09266666666666667
255	-85.2	-0.139
256	-112.2	-0.18533333333333335
257	-135	-0.18533333333333335
258	-156.6	-0.18533333333333335
259	-171	-0.18533333333333335
260	-170.4	-0.18533333333333335
261	-174	-0.18533333333333335
262	-175.79999999999998	-0.18533333333333335
263	-175.2	-0.2316666666666667
264	-175.79999999999998	-0.278
265	-176.4	-0.32433333333333336
266	-171.6	-0.3706666666666667
267	-126	-0.41700000000000004
268	-117	-0.41700000000000004
269	-82.8	-0.41700000000000004
270	-55.8	-0.41700000000000004
271	-42	-0.3706666666666667
272	-16.2	-0.32433333333333336
273	14.399999999999999	-0.2316666666666667
274	42	-0.18533333333333335
275	57.599999999999994	-0.09266666666666667
276	91.2	-0.04633333333333334
277	115.19999999999999	0
278	133.79999999999998	0.09266666666666667
279	155.4	0.139
280	169.79999999999998	0.18533333333333335
281	169.2	0.18533333333333335
282	172.2	0.18533333333333335
283	174.6	0.18533333333333335
284	173.4	0.278
285	174	0.32433333333333336
286	174	0.3706666666666667
287	170.4	0.4633333333333334
288	124.19999999999999	0.5096666666666667
289	115.19999999999999	0.556
290	81.6	0.6023333333333334
291	59.4	0.556
