#Time	Act P	WU P	PB P	Act PF	WU PF	PB PF
0.0	299.73	300.7	125.0	0.99	1.0	0.0
0.21	299.55	300.7	127.0	1.0	1.0	0.0
1.43	299.55	300.7	136.0	1.0	1.0	0.0
2.26	299.72	300.6	121.0	0.99	1.0	0.0
3.3	299.72	300.6	121.0	0.99	1.0	0.0
4.32	299.56	300.5	124.0	1.0	1.0	0.0
5.55	299.56	300.5	128.0	1.0	1.0	0.0
6.57	299.7	300.5	139.0	0.99	1.0	0.0
7.39	299.7	300.5	123.0	0.99	1.0	0.0
8.41	299.55	300.5	135.0	1.0	1.0	0.0
9.64	299.55	300.5	120.0	1.0	1.0	0.0
10.45	299.68	300.4	133.0	1.0	1.0	0.0
11.48	299.68	300.4	147.0	1.0	1.0	0.0
12.51	299.61	300.4	142.0	1.0	1.0	0.0
13.53	299.61	300.4	136.0	1.0	1.0	0.0
14.96	299.7	300.4	134.0	1.0	1.0	0.0
15.58	299.7	300.4	131.0	1.0	1.0	0.0
16.82	299.61	300.4	137.0	1.0	1.0	0.0
17.85	299.61	300.4	120.0	1.0	1.0	0.0
18.67	299.7	300.4	124.0	1.0	1.0	0.0
19.7	299.7	300.4	121.0	1.0	1.0	0.0
20.73	299.64	300.3	127.0	1.0	1.0	0.0
22.38	299.64	300.3	133.0	1.0	1.0	0.0
22.78	299.57	300.3	118.0	0.99	1.0	0.0
24.01	299.57	300.3	126.0	0.99	1.0	0.0
25.24	299.58	300.3	140.0	1.0	1.0	0.0
