#Time	Act P	WU P	PB P	Act PF	WU PF	PB PF
0.0	350.89	350.9	144.0	0.99	1.0	0.0
0.42	350.89	350.9	145.0	0.99	1.0	0.0
1.44	350.99	351.0	152.0	1.0	1.0	0.0
2.67	350.99	351.0	146.0	1.0	1.0	0.0
3.48	351.09	351.1	147.0	1.0	1.0	0.0
4.7	351.09	351.1	155.0	1.0	1.0	0.0
5.52	351.18	351.2	153.0	0.99	1.0	0.0
6.75	351.18	351.2	149.0	0.99	1.0	0.0
7.58	351.21	351.2	142.0	0.99	1.0	0.0
8.41	351.21	351.2	147.0	0.99	1.0	0.0
10.05	351.09	351.3	149.0	1.0	1.0	0.0
10.46	351.09	351.3	139.0	1.0	1.0	0.0
11.67	351.11	351.3	141.0	1.0	1.0	0.0
12.69	351.11	351.3	147.0	1.0	1.0	0.0
13.52	351.23	351.4	149.0	0.99	1.0	0.0
14.55	351.23	351.4	140.0	0.99	1.0	0.0
15.57	351.09	351.3	142.0	0.99	1.0	0.0
16.6	351.09	351.3	155.0	0.99	1.0	0.0
18.43	351.08	351.4	149.0	0.99	1.0	0.0
18.84	351.08	351.4	150.0	0.99	1.0	0.0
19.66	351.11	351.4	152.0	0.99	1.0	0.0
20.69	351.11	351.4	132.0	0.99	1.0	0.0
21.71	351.18	351.4	138.0	0.99	1.0	0.0
22.73	351.18	351.4	146.0	0.99	1.0	0.0
23.74	351.23	351.4	135.0	0.99	1.0	0.0
24.97	351.23	351.4	137.0	0.99	1.0	0.0
