#Time	Act P	WU P	PB P	Act PF	WU PF	PB PF
0.0	401.63	401.6	164.0	1.0	1.0	0.0
0.61	401.63	401.6	151.0	1.0	1.0	0.0
2.03	401.5	401.8	161.0	1.0	1.0	0.0
2.64	401.5	401.8	157.0	1.0	1.0	0.0
3.67	401.38	401.9	164.0	1.0	1.0	0.0
4.7	401.38	401.9	166.0	1.0	1.0	0.0
5.71	401.65	401.9	165.0	1.0	1.0	0.0
6.75	401.65	401.9	149.0	1.0	1.0	0.0
7.77	401.51	401.9	159.0	1.0	1.0	0.0
8.79	401.51	402.0	163.0	1.0	1.0	0.0
9.82	401.7	402.0	161.0	0.99	1.0	0.0
10.84	401.7	402.1	160.0	0.99	1.0	0.0
11.86	401.74	402.1	163.0	0.99	1.0	0.0
12.88	401.74	402.1	153.0	0.99	1.0	0.0
13.9	401.81	402.1	156.0	0.99	1.0	0.0
14.93	401.81	402.1	157.0	0.99	1.0	0.0
16.16	401.89	402.1	150.0	0.99	1.0	0.0
16.98	401.89	402.1	156.0	0.99	1.0	0.0
18.42	401.72	402.1	154.0	0.99	1.0	0.0
19.04	401.72	402.2	158.0	0.99	1.0	0.0
20.07	401.95	402.2	163.0	1.0	1.0	0.0
21.08	401.95	402.2	160.0	1.0	1.0	0.0
22.12	402.24	402.2	156.0	1.0	1.0	0.0
22.94	402.24	402.2	168.0	1.0	1.0	0.0
23.98	402.33	402.2	154.0	0.99	1.0	0.0
24.99	402.33	402.2	165.0	0.99	1.0	0.0
26.03	402.03	402.2	156.0	1.0	1.0	0.0
27.05	402.03	402.2	154.0	1.0	1.0	0.0
28.06	402.27	402.2	155.0	0.99	1.0	0.0
29.08	402.27	402.2	166.0	0.99	1.0	0.0
