#Time	Act P	WU P	PB P	Act PF	WU PF	PB PF
0.0	98.07	98.5	70.0	1.0	1.0	0.0
1.02	97.99	98.6	83.0	0.99	1.0	0.0
2.04	97.99	98.6	74.0	0.99	1.0	0.0
3.07	98.12	98.5	91.0	0.99	1.0	0.0
4.09	98.12	98.5	71.0	0.99	1.0	0.0
5.12	98.06	98.5	71.0	0.99	1.0	0.0
6.15	98.06	98.5	97.0	0.99	1.0	0.0
6.97	98.04	98.5	84.0	1.0	1.0	0.0
7.99	98.04	98.5	79.0	1.0	1.0	0.0
9.01	98.04	98.5	94.0	1.0	1.0	0.0
10.03	98.04	98.5	86.0	1.0	1.0	0.0
11.05	97.99	98.5	84.0	0.99	1.0	0.0
12.08	97.99	98.5	81.0	0.99	1.0	0.0
13.1	97.96	98.5	81.0	1.0	1.0	0.0
14.12	97.96	98.5	92.0	1.0	1.0	0.0
15.14	98.01	98.4	102.0	0.99	1.0	0.0
16.17	98.01	98.4	78.0	0.99	1.0	0.0
17.21	98.01	98.5	94.0	0.99	1.0	0.0
18.23	98.01	98.5	62.0	0.99	1.0	0.0
19.47	98.08	98.4	87.0	0.99	1.0	0.0
20.29	98.08	98.4	95.0	0.99	1.0	0.0
21.31	98.01	98.4	78.0	0.99	1.0	0.0
