1440602067.81	296.67	0.84
1440602069.44	295.73	0.8
1440602070.69	298.67	0.82
1440602071.71	300.25	0.84
1440602072.73	297.14	0.84
1440602073.96	297.55	0.84
1440602075.17	297.03	0.81
1440602075.79	297.03	0.81
1440602077.23	298.73	0.84
1440602077.85	297.55	0.83
1440602078.86	296.79	0.84
1440602080.49	298.26	0.82
1440602080.9	296.2	0.81
1440602081.93	298.43	0.83
1440602082.95	296.73	0.83
1440602083.97	294.68	0.84
1440602085.39	299.61	0.83
1440602086.01	297.2	0.82
1440602088.06	298.67	0.84
1440602089.28	293.27	0.84
1440602090.51	296.32	0.84
1440602091.33	297.38	0.81
1440602092.76	296.91	0.81
1440602093.17	296.85	0.83
1440602095.43	296.85	0.84
