1440637507.17	47.6	0.27
1440637507.37	45.95	0.28
1440637508.6	43.8	0.24
1440637509.42	48.77	0.29
1440637510.44	52.56	0.28
1440637511.46	47.11	0.24
1440637512.68	47.97	0.26
1440637513.5	47.36	0.27
1440637514.52	50.79	0.27
1440637515.54	45.39	0.24
1440637516.56	48.34	0.25
1440637517.59	46.44	0.24
1440637518.61	47.17	0.25
1440637519.62	47.73	0.24
1440637520.64	45.7	0.24
1440637521.67	45.64	0.24
1440637522.7	47.97	0.25
1440637523.72	45.33	0.24
1440637524.74	47.36	0.24
1440637525.77	48.95	0.27
1440637526.81	48.89	0.25
1440637527.83	47.91	0.23
1440637528.86	49.32	0.25
1440637529.88	54.7	0.27
1440637530.9	48.71	0.25
1440637531.93	48.71	0.24
1440637532.95	49.93	0.25
1440637533.97	51.4	0.26
1440637535.2	52.68	0.26
1440637536.03	46.38	0.22
1440637537.06	47.54	0.24
1440637538.07	49.2	0.25
1440637539.1	47.73	0.23
1440637540.13	46.99	0.23
1440637541.14	48.65	0.24
1440637542.39	48.03	0.26
