1440683100.49	9.54	0.06
1440683101.52	6.69	0.05
1440683102.55	7.9	0.06
1440683103.57	12.64	0.08
1440683104.6	10.3	0.07
1440683105.62	7.2	0.05
1440683106.65	7.39	0.05
1440683107.67	6.88	0.05
1440683108.69	8.72	0.06
1440683109.72	8.91	0.06
1440683110.74	5.8	0.05
1440683111.77	6.88	0.05
1440683112.8	8.59	0.06
1440683113.82	10.05	0.06
1440683114.85	9.16	0.06
1440683115.87	7.52	0.05
1440683116.88	8.85	0.06
1440683117.9	9.86	0.07
1440683118.92	9.54	0.06
1440683120.16	10.24	0.07
1440683120.97	8.66	0.06
1440683121.99	9.04	0.06
1440683123.22	10.87	0.07
1440683124.04	9.92	0.06
1440683125.06	9.23	0.06
1440683126.07	5.93	0.05
1440683127.1	8.72	0.06
1440683128.52	7.2	0.05
1440683129.13	9.61	0.06
1440683130.15	7.77	0.06
1440683131.17	5.49	0.05
1440683132.18	8.53	0.06
1440683133.41	6.82	0.05
1440683134.24	8.28	0.06
1440683135.07	9.73	0.06
1440683136.08	7.9	0.06
1440683137.32	7.9	0.06
