#Time	Diff	Act P	PB P	Act PF	PB PF
0.0	-0.51	133.1	126.67	0.61	0.5
0.2	-0.31	133.1	146.45	0.61	0.45
1.23	0.72	133.1	127.08	0.61	0.5
2.25	-0.26	133.3	129.63	0.61	0.5
3.28	0.77	133.3	128.06	0.61	0.46
4.31	-0.21	133.5	128.41	0.61	0.52
5.33	0.81	133.5	136.94	0.61	0.47
6.35	-0.17	133.7	127.83	0.61	0.5
7.38	0.86	133.7	132.76	0.61	0.51
