#Time	Act P	WU P	PB P	Act PF	WU PF	PB PF
0.0	304.24	314.6	298.37	0.83	0.85	0.75
0.62	304.24	314.6	303.07	0.83	0.85	0.77
1.65	307.41	301.3	309.17	0.84	0.82	0.78
2.68	307.41	301.3	291.63	0.84	0.82	0.75
3.7	302.42	294.9	310.28	0.83	0.81	0.76
5.13	302.42	310.6	302.13	0.83	0.84	0.77
6.16	301.94	310.6	287.81	0.83	0.84	0.74
6.77	301.94	310.6	305.71	0.83	0.84	0.79
8.21	309.02	305.9	311.51	0.84	0.84	0.77
8.82	309.02	305.9	314.21	0.84	0.84	0.79
10.46	314.34	316.9	313.22	0.85	0.85	0.79
11.28	314.34	316.9	308.0	0.85	0.85	0.79
12.72	304.96	316.9	289.98	0.83	0.85	0.76
13.35	304.96	293.6	314.86	0.83	0.82	0.78
14.98	304.93	293.6	294.44	0.83	0.82	0.75
16.0	301.34	300.5	307.12	0.83	0.82	0.77
17.03	301.34	300.5	291.8	0.83	0.82	0.76
18.05	306.61	306.5	314.39	0.84	0.83	0.79
19.07	306.61	306.5	301.78	0.84	0.83	0.76
20.08	303.01	306.0	302.25	0.83	0.84	0.77
21.11	303.01	306.5	304.3	0.83	0.83	0.75
22.33	306.38	306.5	303.36	0.84	0.83	0.77
