1440614784.07	104.12	0.44
1440614785.08	105.86	0.45
1440614786.11	108.55	0.46
1440614787.12	105.92	0.46
1440614788.15	106.57	0.45
1440614789.18	104.84	0.44
1440614790.21	104.24	0.45
1440614791.23	105.08	0.46
1440614792.26	101.97	0.43
1440614793.28	101.01	0.42
1440614794.31	104.66	0.45
1440614795.33	100.29	0.45
1440614796.35	103.23	0.44
1440614797.37	104.3	0.45
1440614798.4	105.56	0.44
1440614799.62	103.35	0.46
1440614800.45	105.68	0.45
1440614801.47	101.01	0.42
1440614802.49	101.97	0.44
1440614803.51	105.14	0.44
1440614804.75	101.37	0.45
1440614805.57	102.03	0.44
1440614806.59	102.39	0.44
1440614807.81	105.14	0.45
1440614808.63	100.41	0.43
1440614809.66	100.0	0.42
1440614810.69	100.71	0.42
1440614811.92	103.17	0.44
1440614813.15	95.5	0.43
1440614813.97	98.26	0.42
1440614814.8	98.2	0.41
