#Time	Diff	Act P	PB P	Act PF	PB PF
0.0	-0.43	46.8	44.48	0.64	0.18
0.62	0.19	46.8	36.42	0.64	0.19
2.46	0.03	46.8	40.28	0.64	0.2
3.49	-0.94	46.9	39.38	0.64	0.18
4.72	0.29	46.9	42.6	0.64	0.29
5.54	-0.89	46.9	37.41	0.65	0.19
6.76	0.33	46.9	36.25	0.65	0.21
7.99	-0.44	46.9	39.99	0.65	0.22
8.61	0.18	46.9	38.11	0.65	0.2
