1440681448.09	120.83	0.39
1440681449.11	120.59	0.42
1440681450.15	133.37	0.52
1440681451.17	122.79	0.44
1440681452.18	125.29	0.44
1440681453.22	119.04	0.51
1440681454.24	122.91	0.42
1440681455.28	133.79	0.52
1440681456.12	121.72	0.46
1440681457.14	127.67	0.45
1440681458.36	114.15	0.53
1440681459.18	122.91	0.42
1440681460.22	125.17	0.44
1440681461.24	120.47	0.49
1440681462.26	127.55	0.45
1440681463.29	125.23	0.43
1440681464.32	124.93	0.43
1440681465.36	125.17	0.44
1440681466.39	121.78	0.37
1440681467.41	127.13	0.45
1440681468.85	136.7	0.4
1440681469.45	123.57	0.42
1440681470.48	125.59	0.44
1440681471.72	118.51	0.31
1440681472.54	125.65	0.44
1440681473.57	128.38	0.44
1440681474.59	123.68	0.4
1440681475.81	124.99	0.43
1440681476.62	119.82	0.34
1440681477.65	128.56	0.45
1440681478.88	126.3	0.44
1440681479.7	125.35	0.41
1440681480.73	124.87	0.42
1440681481.77	133.67	0.5
1440681482.78	125.47	0.45
1440681483.81	128.62	0.45
1440681484.83	122.79	0.49
1440681486.06	124.75	0.43
1440681486.88	141.74	0.58
1440681487.9	124.7	0.45
1440681488.92	128.38	0.45
1440681489.94	118.56	0.53
1440681490.97	125.29	0.42
1440681492.0	134.38	0.5
1440681493.03	126.9	0.47
1440681494.26	128.8	0.45
1440681494.89	115.41	0.53
1440681496.12	125.47	0.43
1440681497.12	128.08	0.45
1440681498.14	126.06	0.49
1440681498.97	127.43	0.44
1440681500.19	119.46	0.5
1440681501.01	126.06	0.43
1440681502.04	128.14	0.45
1440681503.07	125.59	0.46
1440681504.1	128.14	0.45
